Codigo; Precio ;FECHA INICIO;FECHA FIN;CODIG LOCAL
553787; 3.74 ;25/03/2022;22/04/2022;DR4
137572; 13.99 ;25/03/2022;22/04/2022;DR4
510899; 9.47 ;25/03/2022;22/04/2022;DR4
130068; 16.29 ;25/03/2022;22/04/2022;DR4
137574; 17.51 ;25/03/2022;22/04/2022;DR4
164393; 12.90 ;25/03/2022;22/04/2022;DR4
159112; 2.09 ;25/03/2022;22/04/2022;DR4
130196; 0.66 ;25/03/2022;22/04/2022;DR4
141055; 4.78 ;25/03/2022;22/04/2022;DR4
141054; 0.79 ;25/03/2022;22/04/2022;DR4
513739; 0.27 ;25/03/2022;22/04/2022;DR4
513741; 0.42 ;25/03/2022;22/04/2022;DR4
576020; 0.41 ;25/03/2022;22/04/2022;DR4
515507; 42.61 ;25/03/2022;22/04/2022;DR4
130379; 20.41 ;25/03/2022;22/04/2022;DR4
187273; 38.90 ;25/03/2022;22/04/2022;DR4
130177; 3.13 ;25/03/2022;22/04/2022;DR4
130486; 31.44 ;25/03/2022;22/04/2022;DR4
130570; 4.15 ;25/03/2022;22/04/2022;DR4
130572; 4.22 ;25/03/2022;22/04/2022;DR4
110695; 61.18 ;25/03/2022;22/04/2022;DR4
514408; 12.64 ;25/03/2022;22/04/2022;DR4
525918; 25.49 ;25/03/2022;22/04/2022;DR4
164713; 14.15 ;25/03/2022;22/04/2022;DR4
182334; 13.25 ;25/03/2022;22/04/2022;DR4
506754; 4.35 ;25/03/2022;22/04/2022;DR4
208202; 6.10 ;25/03/2022;22/04/2022;DR4
208203; 4.57 ;25/03/2022;22/04/2022;DR4
506724; 2.56 ;25/03/2022;22/04/2022;DR4
166333; 14.39 ;25/03/2022;22/04/2022;DR4
164544; 8.64 ;25/03/2022;22/04/2022;DR4
120994; 25.03 ;25/03/2022;22/04/2022;DR4
511813; 13.07 ;25/03/2022;22/04/2022;DR4
526351; 12.59 ;25/03/2022;22/04/2022;DR4
554599; 12.70 ;25/03/2022;22/04/2022;DR4
526348; 2.54 ;25/03/2022;22/04/2022;DR4
